,Official Core Consumer Price Index,Energy Price Index,Food Price Index,Headline Consumer Price Index,Producer Price Index,Petrol,Diesel
2008-02-01,0.23776223776223765,-0.07272727272727271,0.29444727457972497,0.3178873941205777,0.39731717871051486,-0.4158907510862826,-0.3102571800260176
2008-03-01,0.24375624375624386,-0.07272727272727271,0.30259806418746804,0.3238664673642252,0.41687581133708335,-0.5003904607436784,-0.39188231762233483
2008-04-01,0.25174825174825166,0.0,0.32297503820682616,0.33781763826606853,0.46447425356988303,-0.3960112933261258,-0.25830081056739657
2008-05-01,0.2577422577422576,0.054545454545454515,0.3515028018339276,0.3477827603388139,0.5157074859368239,-0.30640155383352413,-0.11764234964475077
2008-06-01,0.26373626373626385,0.12727272727272732,0.3861436576668365,0.3577478824115593,0.5563825183903071,-0.22418453775455113,-0.0025217652356645456
2008-07-01,0.2617382617382617,0.21818181818181823,0.400407539480387,0.3577478824115593,0.5652098658589355,-0.26819647183676826,-0.08313819673771584
2008-08-01,0.2697302697302698,0.25454545454545463,0.4228222109016811,0.36771300448430466,0.5352661185633923,-0.452273682945877,-0.2359051335935148
2008-09-01,0.2717282717282717,0.3272727272727272,0.4167091186958737,0.3756851021425011,0.5262656858502812,-0.31062653931639406,-0.10579405583908666
2008-10-01,0.2717282717282717,0.21818181818181823,0.42485990830361675,0.37169905331340286,0.5068801384681955,-0.5622874992491148,-0.38198739117382086
2008-11-01,0.2757242757242757,0.14545454545454542,0.44931227712684657,0.37169905331340286,0.48922544353093894,-0.5798642398029681,-0.3850495346742711
2008-12-01,0.2717282717282717,0.0,0.46153846153846134,0.36771300448430466,0.4643011683254,-0.7675857511864008,-0.5725607925547875
2009-01-01,0.2617382617382617,-0.0181818181818182,0.4533876719307183,0.3577478824115593,0.4696668109043702,-0.8246931379027264,-0.680836585609926
2009-02-01,0.2697302697302698,0.0181818181818182,0.48191543555781946,0.3697060288988539,0.4591086109909128,-0.7665765603412036,-0.6371419993995789
2009-03-01,0.2757242757242757,-0.0363636363636364,0.4737646459500764,0.37169905331340286,0.4713976633491994,-0.7681263891391853,-0.6794356049234456
2009-04-01,0.28171828171828167,-0.12727272727272732,0.46561385634233304,0.3756851021425011,0.45374296841194267,-0.7023487715504304,-0.5977784449114374
2009-05-01,0.2877122877122876,-0.1636363636363636,0.48191543555781946,0.3836571998006975,0.45737775854608387,-0.6577161050039053,-0.5994596217352138
2009-06-01,0.2897102897102898,-0.23636363636363636,0.47987773815588375,0.38764324862979543,0.4502812635222847,-0.5531086682285105,-0.558174722305613
2009-07-01,0.2897102897102898,-0.2545454545454545,0.4717269485481404,0.3856502242152465,0.4449156209433145,-0.4508439959151809,-0.5130711498048626
2009-08-01,0.2977022977022976,-0.29090909090909095,0.45950076413652563,0.3916292974588937,0.45201211596711366,-0.4927013876374131,-0.5493845691984383
2009-09-01,0.2977022977022976,-0.36363636363636365,0.4431991849210392,0.3916292974588937,0.462570315880571,-0.5401974329709067,-0.5252877013909729
2009-10-01,0.2977022977022976,-0.32727272727272727,0.46357615894039733,0.3936223218734429,0.48195586326265677,-0.4279850223263462,-0.48758130691483953
2009-11-01,0.29970029970029977,-0.2727272727272727,0.4737646459500764,0.39760837070254085,0.4767633059281696,-0.40722052021385285,-0.430681477033923
